NVERTS 7
NFACES 10

VERTEX
-18.000000, 37.000000, -11.000000
30.000000, 7.000000, 12.000000
28.000000, -7.000000, -12.000000
2.000000, 0.000000, -39.000000

-28.000000, 34.000000, -30.000000
5.000000, -10.000000, 13.000000
20.000000, 17.000000, -30.000000


FACES
64,64,64,	-0.868927,-0.173785,0.463428,	3	, 5, 4, 0
64,64,64,	-0.211733,0.362970,0.907426,	3	, 1, 5, 0
64,64,64,	0.518495,-0.761539,0.388871,	3	, 2, 5, 1
64,64,64,	-0.075497,-0.981462,-0.176160,	3	, 3, 5, 2
64,64,64,	-0.771517,-0.617213,-0.154303,	3	, 4, 5, 3
64,64,64,	0.502175,0.860871,0.081988,	3	, 1, 6, 0
64,64,64,	0.966595,0.181237,-0.181237,	3	, 2, 6, 1
64,64,64,	0.648720,-0.298753,-0.699935,	3	, 3, 6, 2
64,64,64,	0.147030,0.374258,-0.915595,	3	, 4, 6, 3
64,64,64,	0.325042,0.893866,-0.308790,	3	, 6, 4, 0


END
