NVERTS 9
NFACES 14

VERTEX
0.000000, 80.000000, 0.000000
-80.000000, -10.000000, 0.000000
0.000000, -80.000000, 0.000000
70.000000, -40.000000, 0.000000

60.000000, 50.000000, 0.000000
50.000000, 0.000000, 60.000000
-40.000000, 0.000000, 70.000000
0.000000, 30.000000, -75.000000

0.000000, -50.000000, -60.000000


FACES
143,146,154,	0.085819,0.629342,0.772375,	3	, 6, 0, 5
143,149,154,	0.085819,-0.629342,0.772375,	3	, 6, 5, 2
143,147,154,	-0.711478,0.632425,0.306331,	3	, 6, 0, 1
143,150,154,	-0.593356,-0.676797,0.435746,	3	, 2, 6, 1
143,144,154,	0.402637,-0.706852,0.581587,	3	, 3, 5, 2
143,149,154,	0.962446,0.106938,0.249523,	3	, 4, 5, 3
143,144,154,	0.345169,0.690339,0.635838,	3	, 4, 5, 0
130,122,141,	-0.682264,0.609903,-0.403156,	3	, 7, 0, 1
143,146,154,	-0.635535,-0.142284,-0.758848,	3	, 8, 7, 1
130,122,141,	0.654235,-0.138777,-0.743449,	3	, 7, 8, 3
143,147,154,	-0.616316,-0.704361,-0.352180,	3	, 2, 8, 1
143,146,154,	0.453333,-0.797240,-0.398620,	3	, 8, 2, 3
143,147,154,	0.767747,0.085305,-0.635050,	3	, 7, 3, 4
143,150,154,	0.383574,0.767149,-0.514153,	3	, 4, 7, 0


END
